,x,y,z,allenId,sampleNumber,parentNumber,type,file,zz,subject,id,cluster,cluster2,embedding_x,embedding_y,Unnamed: 0,Graph,somaAP,somaDV,somaML,OLF,Isocortex,HPF,CTXsp,CNU,TH,HY,MB,CB,P,MY,Other,Total Length (cm),Axon Branches,Top Projection,cortex_diff,num_branches,num_tips,mean_fragmentation,max_branch_order,num_outer_bifurcations,mean_bifurcation_angle_local,mean_bifurcation_angle_remote,total_length,max_euclidean_distance,max_path_distance,early_branch_path,mean_contraction
0,10659.5131,4484.2782,4777.5971,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N035-685221-DS.json,4777.5971,685221,N035-685221,1,1,856.3983477722065,-13.381205603394681,26.0,N035-685221-DS,10659.5131,4484.2782,4777.5971,0.2359273066090432,0.1983598877880683,0.062992641132576,0.0415810234520606,0.0861046768170139,0.0074284105434049,0.0302446329084001,0.0308392780141048,0.0,0.0890048345526975,0.0667589419850832,0.0826922855125997,30.208562091981683,716.0,OLF,0.4550217952142914,51,26,9.72549019607843,8,14,1.5800911161152817,1.3836738008039156,3301.2036119971067,432.5405245571917,521.1136571951697,0.7724590173294246,0.8392862239916566
0,10583.0199,4430.6091,6804.6729,867,0,-1,1,/data/685221_12_5_24/Complete_annotated/N021-685221-HD.json,4595.3271,685221,N021-685221,1,1,71.67983161851245,192.4838875059904,33.0,N021-685221-HD,10583.0199,4430.6091,4595.3271,0.2719178047547834,0.3810269693888269,0.0950903898925166,0.0918924949743092,0.025524244692506,0.0051099996545051,0.0101348262133762,0.0450478625919845,0.0,0.0112698150514482,0.0001076527388917,0.0222550827101996,35.13455908828556,398.0,Isocortex,0.8921120416622684,41,21,13.365853658536585,8,10,1.4362617955154375,1.4141913176891683,3505.211446081913,445.25374842057295,572.8166682908478,0.8655814688408241,0.7742406460264063
0,10315.5199,4557.8195,4930.4816,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N047-685221-SA.json,4930.4816,685221,N047-685221,1,1,-528.8840926813065,208.42468599356576,23.0,N047-685221-SA,10315.5199,4557.8195,4930.4816,0.0964714014982436,0.72284977069183,0.0349510322031702,0.0186387824330663,0.0347694327758403,0.00354430183777,0.0063088622098254,0.0217562122690075,0.0,0.0082684036851692,0.0,0.0111153055083562,47.84690401250902,973.0,Isocortex,0.9199060867252279,57,29,6.807017543859649,10,2,1.476578171311594,1.5043134435178258,3346.2813773069824,655.9002059958667,768.9310873410304,0.6296694636283643,0.8966154726792549
0,10585.7235,4673.4428,4813.6935,350,0,-1,1,/data/685221_12_5_24/Complete_annotated/N044-685221-DS.json,4813.6935,685221,N044-685221,1,1,638.6479881329025,149.2925034056089,30.0,N044-685221-DS,10585.7235,4673.4428,4813.6935,0.0137937928780028,0.6047716850165191,0.0118289955316431,0.0,0.0151581830728893,0.012802014615254,0.0301913964932014,0.0799860909199903,0.0119118174536019,0.066165741939287,0.0637582207352442,0.0475512043814141,31.96283194280949,514.0,Isocortex,0.5910569914715547,23,12,14.565217391304348,5,2,1.3221555613526892,1.150503252196795,3311.3696631723515,511.1196268178811,575.4173721857932,0.7737640032744044,0.8527997202180875
0,10676.7707,4394.7195,6715.4604,147,0,-1,1,/data/685221_12_5_24/Complete_annotated/N026-685221-DS.json,4684.5396,685221,N026-685221,1,1,680.035832526648,-92.38342521281619,19.0,N026-685221-DS,10676.7707,4394.7195,4684.5396,0.0752533233240345,0.2322290659684278,0.0640487452367212,0.0727298031428961,0.0932329367993791,0.2130627167187569,0.0817818059119356,0.0632905442150793,0.0,0.029865461959719,0.0247176928439433,0.0038876365989253,34.85293136941011,899.0,Isocortex,0.8371581499146429,73,37,7.958904109589041,10,22,1.6435694968092132,1.5610811012173746,3497.40366252973,498.8938131150655,662.6798817006622,0.6644079642469286,0.86317391976761
0,10225.989,4590.7843,4902.5062,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N056-685221-AK.json,4902.5062,685221,N056-685221,1,1,617.6369642095946,-608.3251192112853,38.0,N056-685221-AK,10225.989,4590.7843,4902.5062,0.0,0.0,0.0,0.0,0.0046973584569717,0.1178804737794691,0.0700686455013988,0.222494661989783,0.0032846496805379,0.0890889556314156,0.2593929389494637,0.1311958499304358,16.060830070473664,171.0,MY,-0.0645366047836925,19,10,13.0,4,3,1.363352209079424,1.6019721565694087,2947.450121501886,531.5141465452164,689.2833047397653,0.572590562443835,0.8478068489909109
0,10671.8505,4318.5129,4819.3575,280,0,-1,1,/data/685221_12_5_24/Complete_annotated/N065-685221-HD.json,4819.3575,685221,N065-685221,1,1,75.50959323863262,-363.8979405322496,46.0,N065-685221-HD,10671.8505,4318.5129,4819.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052653126901966,0.67407439843784,0.0258126992621266,0.0274639260186777,0.1145422041240903,11.394800764430768,294.0,CB,-0.16255351671469803,37,19,7.702702702702703,8,11,1.3581151743812954,1.413682323513483,2531.3012916231464,374.65672349740396,496.2218153021751,0.6932626443284908,0.8210563221316208
0,10329.1666,4178.5722,6624.2861,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N012-685221-SA.json,4775.7139,685221,N012-685221,1,1,503.6002365742487,615.6828384332965,13.0,N012-685221-SA,10329.1666,4178.5722,4775.7139,0.1661428459790037,0.0929284493121075,0.4038471097876203,0.0053229237838738,0.042549930712522,0.0250026129651861,0.0559800260275667,0.0534805698580072,0.0,0.0133526975652765,0.0352504761407014,0.0154883800401582,41.12463879492847,846.0,HPF,0.7811629146797512,31,16,13.64516129032258,6,4,1.3339350317038863,1.0193766506564095,4322.11193664269,531.7850486166847,750.4774463374279,0.7120626039879405,0.775758700079388
0,10215.0558,4901.5289,4694.3441,1093,0,-1,1,/data/685222_2_17_25_unrefined/Complete_annotated/N024-685222-AP.json,4694.3441,685222,N024-685222,1,1,-19.20875839733224,427.0555923229386,88.0,N024-685222-AP,10215.0558,4901.5289,4694.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1676859033845946,0.4650272206271356,0.3408650584318292,12.466364596225414,389.0,MY,-0.9735781824435594,33,17,14.787878787878787,7,3,1.3178610844711165,1.2315080761864592,4046.3915817487514,710.7766475912666,822.9252823500219,0.6643373617280132,0.8779346535997927
0,10739.3271,4550.8089,4695.3761,350,0,-1,1,/data/685222_2_17_25_unrefined/Complete_annotated/N029-685222-SA.json,4695.3761,685222,N029-685222,2,4,-1763.485332132806,-40.855918476638735,73.0,N029-685222-SA,10739.3271,4550.8089,4695.3761,0.148075841609571,0.5133375514303321,0.1316503645341241,0.0563465377963591,0.0264243243586176,0.0078309768807462,0.0093624628756129,0.0077121529648046,0.017488636635994,0.0197227061944712,0.0051025613450278,0.0180425278734968,50.31054742762223,809.0,Isocortex,0.8578724170371718,45,23,7.711111111111111,8,12,1.4531757983759253,1.3642695361943526,3605.2775350420943,536.8144796263689,658.9498848744628,0.8598372013654563,0.8357159918608715
